PassengerId,Survived,Pclass,SibSp,Parch,SexUpd,Rels,EmbarkedN,CabinN,AgeN,Fare
259,1,1,0,0,1,0,0,6,35,512.3292
680,1,1,0,1,0,1,0,1,36,512.3292
738,1,1,0,0,0,0,0,1,35,512.3292
28,0,1,3,2,0,5,1,2,19,263
89,1,1,3,2,1,5,1,2,23,263
342,1,1,3,2,1,5,1,2,24,263
439,0,1,1,4,0,5,1,2,64,263
312,1,1,2,2,1,4,0,1,18,262.375
743,1,1,2,2,1,4,0,1,21,262.375
119,0,1,0,1,0,1,0,1,24,247.5208
300,1,1,0,1,1,1,0,1,50,247.5208
381,1,1,0,0,1,0,0,6,42,227.525
558,0,1,0,0,0,0,0,6,1,227.525
701,1,1,1,0,1,1,0,2,18,227.525
717,1,1,0,0,1,0,0,2,38,227.525
528,0,1,0,0,0,0,1,2,1,221.7792
378,0,1,0,2,0,2,0,2,27,211.5
690,1,1,0,1,1,1,1,1,15,211.3375
731,1,1,0,0,1,0,1,1,29,211.3375
780,1,1,0,1,1,1,1,1,43,211.3375
319,1,1,0,2,1,2,1,2,31,164.8667
857,1,1,1,1,1,2,1,6,45,164.8667
269,1,1,0,1,1,1,1,2,58,153.4625
333,0,1,0,1,0,1,1,2,38,153.4625
610,1,1,0,0,1,0,1,2,40,153.4625
298,0,1,1,2,1,3,1,2,2,151.55
306,1,1,1,2,0,3,1,2,1,151.55
499,0,1,1,2,1,3,1,2,25,151.55
709,1,1,0,0,1,0,1,6,22,151.55
32,1,1,1,0,1,1,0,1,1,146.5208
196,1,1,0,0,1,0,0,1,58,146.5208
270,1,1,0,0,1,0,1,2,35,135.6333
326,1,1,0,0,1,0,0,2,36,135.6333
374,0,1,0,0,0,0,0,6,22,135.6333
320,1,1,1,1,1,2,0,4,40,134.5
338,1,1,0,0,1,0,0,4,41,134.5
335,1,1,1,0,1,1,1,6,1,133.65
661,1,1,2,0,0,2,1,6,50,133.65
391,1,1,1,2,0,3,1,1,36,120
436,1,1,1,2,1,3,1,1,14,120
764,1,1,1,2,1,3,1,1,36,120
803,1,1,1,2,0,3,1,1,11,120
216,1,1,1,0,1,1,0,3,31,113.275
394,1,1,1,0,1,1,0,3,23,113.275
660,0,1,0,2,0,2,0,3,58,113.275
307,1,1,0,0,1,0,0,6,1,110.8833
551,1,1,0,2,0,2,0,2,17,110.8833
582,1,1,1,1,1,2,0,2,39,110.8833
699,0,1,1,1,0,2,0,2,49,110.8833
308,1,1,1,0,1,1,0,2,17,108.9
506,0,1,1,0,0,1,0,2,18,108.9
538,1,1,0,0,1,0,0,6,30,106.425
545,0,1,1,0,0,1,0,2,50,106.425
521,1,1,0,0,1,0,1,1,30,93.5
821,1,1,1,1,1,2,1,1,52,93.5
292,1,1,1,0,1,1,0,1,19,91.0792
485,1,1,1,0,0,1,0,1,25,91.0792
225,1,1,1,0,0,1,1,2,38,90
246,0,1,2,0,0,2,2,2,44,90
413,1,1,1,0,1,1,2,2,33,90
487,1,1,1,0,1,1,1,2,35,90
454,1,1,1,0,0,1,0,2,49,89.1042
850,1,1,1,0,1,1,0,2,1,89.1042
258,1,1,0,0,1,0,1,1,30,86.5
505,1,1,0,0,1,0,1,1,16,86.5
760,1,1,0,0,1,0,1,1,33,86.5
63,0,1,1,0,0,1,1,2,45,83.475
231,1,1,1,0,1,1,1,2,35,83.475
311,1,1,0,0,1,0,0,2,24,83.1583
836,1,1,1,1,1,2,0,4,39,83.1583
880,1,1,0,1,1,1,0,2,56,83.1583
35,0,1,1,0,0,1,0,6,28,82.1708
376,1,1,1,0,1,1,0,6,1,82.1708
446,1,1,0,2,0,2,1,0,4,81.8583
62,1,1,0,0,1,0,3,1,38,80
830,1,1,0,0,1,0,3,1,62,80
263,0,1,1,1,0,2,1,4,52,79.65
559,1,1,1,1,1,2,1,4,39,79.65
586,1,1,0,2,1,2,1,4,18,79.65
140,0,1,0,0,0,0,0,1,24,79.2
257,1,1,0,0,1,0,0,6,1,79.2
588,1,1,1,1,0,2,0,1,60,79.2
790,0,1,0,0,0,0,0,1,46,79.2
291,1,1,0,0,1,0,1,6,26,78.85
742,0,1,1,0,0,1,1,2,36,78.85
497,1,1,1,0,1,1,0,3,54,78.2667
592,1,1,1,0,1,1,0,3,52,78.2667
276,1,1,1,0,1,1,1,3,63,77.9583
628,1,1,0,0,1,0,1,3,21,77.9583
766,1,1,1,0,1,1,1,3,51,77.9583
103,0,1,0,1,0,1,1,3,21,77.2875
125,0,1,0,1,0,1,1,3,54,77.2875
53,1,1,1,0,1,1,0,3,49,76.7292
646,1,1,1,0,0,1,0,3,48,76.7292
682,1,1,0,0,0,0,0,3,27,76.7292
219,1,1,0,0,1,0,0,3,32,76.2917
367,1,1,1,0,1,1,0,3,60,75.25
73,0,2,0,0,0,0,1,6,21,73.5
121,0,2,2,0,0,2,1,6,21,73.5
386,0,2,0,0,0,0,1,6,18,73.5
656,0,2,2,0,0,2,1,6,24,73.5
666,0,2,2,0,0,2,1,6,32,73.5
2,1,1,1,0,1,1,0,2,38,71.2833
541,1,1,0,2,1,2,1,1,36,71
746,0,1,1,1,0,2,1,1,70,71
160,0,3,8,2,0,10,1,6,1,69.55
181,0,3,8,2,1,10,1,6,1,69.55
202,0,3,8,2,0,10,1,6,1,69.55
325,0,3,8,2,0,10,1,6,1,69.55
793,0,3,8,2,1,10,1,6,1,69.55
847,0,3,8,2,0,10,1,6,1,69.55
864,0,3,8,2,1,10,1,6,1,69.55
370,1,1,0,0,1,0,0,1,24,69.3
642,1,1,0,0,1,0,0,1,24,69.3
152,1,1,1,0,1,1,1,2,22,66.6
337,0,1,1,0,0,1,1,2,29,66.6
616,1,2,1,2,1,3,1,6,24,65
755,1,2,1,2,1,3,1,6,48,65
98,1,1,0,1,0,1,0,3,23,63.3583
55,0,1,0,1,0,1,0,1,65,61.9792
156,0,1,0,1,0,1,0,6,51,61.3792
93,0,1,1,0,0,1,1,4,46,61.175
514,1,1,1,0,1,1,0,6,54,59.4
330,1,1,0,1,1,1,0,1,16,57.9792
524,1,1,0,1,1,1,0,1,44,57.9792
691,1,1,1,0,0,1,1,1,31,57
782,1,1,1,0,1,1,1,1,17,57
310,1,1,0,0,1,0,0,4,30,56.9292
600,1,1,1,0,0,1,0,0,49,56.9292
75,1,3,0,0,0,0,1,6,32,56.4958
170,0,3,0,0,0,0,1,6,28,56.4958
510,1,3,0,0,0,0,1,6,26,56.4958
644,1,3,0,0,0,0,1,6,1,56.4958
693,1,3,0,0,0,0,1,6,1,56.4958
827,0,3,0,0,0,0,1,6,1,56.4958
839,1,3,0,0,0,0,1,6,32,56.4958
435,0,1,1,0,0,1,1,4,50,55.9
578,1,1,1,0,1,1,1,4,39,55.9
371,1,1,1,0,0,1,0,4,25,55.4417
167,1,1,0,1,1,1,1,4,1,55
357,1,1,0,1,1,1,1,4,22,55
4,1,1,1,0,1,1,1,2,35,53.1
138,0,1,1,0,0,1,1,2,37,53.1
725,1,1,1,0,0,1,1,4,27,53.1
749,0,1,1,0,0,1,1,3,19,53.1
810,1,1,1,0,1,1,1,4,33,53.1
249,1,1,1,1,0,2,1,3,37,52.5542
622,1,1,1,0,0,1,1,3,42,52.5542
872,1,1,1,1,1,2,1,3,47,52.5542
36,0,1,1,0,0,1,1,6,42,52
111,0,1,0,0,0,0,1,2,47,52
384,1,1,1,0,1,1,1,6,35,52
476,0,1,0,0,0,0,1,0,1,52
670,1,1,1,0,1,1,1,2,1,52
672,0,1,1,0,0,1,1,1,31,52
713,1,1,1,0,0,1,1,2,48,52
7,0,1,0,0,0,0,1,4,54,51.8625
458,1,1,1,0,1,1,1,3,1,51.8625
572,1,1,2,0,1,2,1,2,53,51.4792
868,0,1,0,0,0,0,1,0,31,50.4958
186,0,1,0,0,0,0,1,0,1,50
494,0,1,0,0,0,0,0,6,71,49.5042
711,1,1,0,0,1,0,0,2,24,49.5042
